OBJECTID,CSA2010,affordm10,affordm11,affordm12,affordm13,affordm14,affordm15,affordm16,affordm17,affordm18,affordm19,CSA2020,affordm20,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,49.4238683127572,49.2815533980583,49.4238683127572,44.0890688259109,50.8268,47.3729917498914,45.5192034139403,43.455985095482,47.1943887775551,37.18924404,Allendale/Irvington/S. Hilton,32.84753363,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,42.0866489832007,44.7682119205298,42.0866489832007,42.271714922049,37.4517,36.5623660522932,36.0313315926893,33.6480686695278,33.5304822565969,35.54319932,Beechfield/Ten Hills/West Hills,37.80948384,47882527.7110596,37524.9505334171
3,Belair-Edison,40.3721204961607,43.2165065008479,40.3721204961607,41.0582323381614,42.6693,41.7344173441734,38.7671741552172,40.0824896887889,42.3145825868864,35.16483516,Belair-Edison,31.96955281,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,43.6671575846834,42.0718816067653,43.6671575846834,36.1455108359133,33.0502,32.8559393428812,29.5336787564767,23.4972677595628,28.0879864636209,33.48666053,Brooklyn/Curtis Bay/Hawkins Point,50.18564356,176077742.748718,150987.703638771
5,Canton,35.6235565819861,35.6818181818182,35.6235565819861,32.8698553948832,29.8454,25,23.3833419555096,20.2014846235418,17.4234424498416,18.50760923,Canton,20.46470063,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,49.7964721845319,53.2887975334019,49.7964721845319,48.2578875171468,43.619,42.2034764826176,39.9607952954355,39.4487750556792,39.972602739726,37.25711067,Cedonia/Frankford,30.31700288,71541340.3063965,39962.5498347166
7,Cherry Hill,24.8908296943231,25.3472222222222,24.8908296943231,36.2989323843416,41.629,36.3207547169811,36.1607142857143,26.9230769230769,23.3333333333333,30.2238806,Cherry Hill,34.74903475,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,35.6106408706167,34.1965471447543,35.6106408706167,34.3060498220641,31.8367,36.0424028268551,39.1920623671155,37.5441072688779,30.637079455977,28.78504673,Chinquapin Park/Belvedere,28.47309136,21022590.1307373,21705.411630344
9,Claremont/Armistead,46.0629921259843,48.7234042553191,46.0629921259843,34.8511383537653,33.8164,36.2438220757825,40.3100775193798,46.788990825688,46.3790446841294,46.85816876,Orchard Ridge/Armistead,35.89364845,61243774.4211426,40104.415980189
10,Clifton-Berea,44.6808510638298,42.7762039660057,44.6808510638298,52.5107604017217,54.5939,56.7807351077313,51.4360313315927,48.7562189054726,48.9971346704871,43.85964912,Clifton-Berea,31.50684932,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,43.3444816053512,48.050139275766,43.3444816053512,53.2091097308489,43.7688,43.6096049573974,38.0524344569288,39.2241379310344,40.9655172413793,38.7755102,Cross-Country/Cheswolde,35.24096386,38222018.3164673,26788.3018783839
12,Dickeyville/Franklintown,30.9090909090909,34.7280334728033,30.9090909090909,39.6648044692737,26.5193,33.5164835164835,22.2222222222222,21.3836477987421,20.1612903225806,17.96875,Dickeyville/Franklintown,33.53293413,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,48.8986784140969,46.7080745341615,48.8986784140969,50.0291545189504,50.3777,43.6729396495782,36.3304981773998,39.612676056338,44.2073170731707,42.01058201,Dorchester/Ashburton,32,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,58.8957055214724,58.7939698492462,58.8957055214724,65.7142857142857,50.2347,42.8571428571429,35.7142857142857,50.2304147465437,47.3053892215568,39.71962617,Downtown/Seton Hill,37.65432099,20736554.4064941,21565.859394559
15,Edmondson Village,58.0906148867314,60.8622147083686,58.0906148867314,53.5454545454545,49.661,48.3261802575107,46.9186524239934,43.3420365535248,34.0888485947416,34.65703971,Edmondson Village,33.00492611,23563061.0443115,21504.551357829
16,Fells Point,41.2556053811659,37.9184418746196,41.2556053811659,31.5147625160462,27.7702,25.3090909090909,22.0787604906391,22.8818800247371,20.7799767171129,20.72794571,Fells Point,21.88112345,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,49.9008592200925,47.8102189781022,49.9008592200925,40.8236347358997,38.9972,35.536398467433,32.6067211625795,33.7466784765279,31.5831987075928,29.32148627,Forest Park/Walbrook,40.68663258,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,43.3333333333333,43.0227743271222,43.3333333333333,47.2272727272727,48.0458,47.4823529411765,39.6504642271982,37.4670184696569,36.4308342133051,35.72567783,Glen-Fallstaff,32.88590604,46995477.4781494,48549.0046179292
19,Greater Charles Village/Barclay,34.6806790622474,34.8525469168901,34.6806790622474,37.1818181818182,39.5756,37.8143972246314,39.4097222222222,34.4715447154471,29.740680713128,23.25769854,Greater Charles Village/Barclay,21.93338749,27051213.4559937,26454.2692113332
